2021-07-29 11:05:03,341 - DEBUG - 4
2021-07-29 11:05:03,342 - DEBUG - 4
2021-07-29 11:05:33,266 - DEBUG - 4
2021-07-29 11:05:33,266 - DEBUG - 4
2021-07-29 11:05:35,451 - DEBUG - -1
2021-07-29 11:06:10,207 - DEBUG - 4
2021-07-29 11:06:10,208 - DEBUG - 4
2021-07-29 11:06:10,208 - DEBUG - set to -1
2021-07-29 11:06:11,698 - DEBUG - -1
2021-07-29 15:51:16,011 - DEBUG - px, py: 43 19
2021-07-29 15:51:26,016 - DEBUG - px, py: 43 19
2021-07-29 15:51:36,021 - DEBUG - px, py: 43 19
2021-07-29 15:51:46,025 - DEBUG - px, py: 43 19
2021-07-29 15:51:56,028 - DEBUG - px, py: 43 19
2021-07-29 15:52:06,031 - DEBUG - px, py: 43 19
2021-07-29 15:52:16,035 - DEBUG - px, py: 43 19
2021-07-29 15:52:26,038 - DEBUG - px, py: 43 19
2021-07-29 15:52:36,043 - DEBUG - px, py: 43 19
2021-07-29 15:52:46,047 - DEBUG - px, py: 43 19
2021-07-29 15:52:56,052 - DEBUG - px, py: 43 19
2021-07-29 15:53:06,058 - DEBUG - px, py: 43 19
2021-07-29 15:53:16,063 - DEBUG - px, py: 43 19
2021-07-29 15:53:26,066 - DEBUG - px, py: 43 19
2021-07-29 15:53:36,071 - DEBUG - px, py: 43 19
2021-07-29 15:53:46,075 - DEBUG - px, py: 43 19
2021-07-29 15:53:56,081 - DEBUG - px, py: 43 19
2021-07-29 15:54:06,085 - DEBUG - px, py: 43 19
2021-07-29 15:54:16,088 - DEBUG - px, py: 43 19
2021-07-29 15:54:26,092 - DEBUG - px, py: 43 19
2021-07-29 15:54:36,098 - DEBUG - px, py: 43 19
2021-07-29 15:54:46,102 - DEBUG - px, py: 43 19
2021-07-29 15:54:56,105 - DEBUG - px, py: 43 19
2021-07-29 15:55:06,109 - DEBUG - px, py: 43 19
2021-07-29 15:55:16,111 - DEBUG - px, py: 43 19
2021-07-29 15:55:26,116 - DEBUG - px, py: 43 19
2021-07-29 15:55:36,119 - DEBUG - px, py: 43 19
2021-07-29 15:55:46,121 - DEBUG - px, py: 43 19
2021-07-29 15:55:56,125 - DEBUG - px, py: 43 19
2021-07-29 15:56:06,128 - DEBUG - px, py: 43 19
2021-07-29 15:56:16,130 - DEBUG - px, py: 43 19
2021-07-29 15:56:26,135 - DEBUG - px, py: 43 19
2021-07-29 15:56:36,140 - DEBUG - px, py: 43 19
2021-07-29 15:56:46,143 - DEBUG - px, py: 43 19
2021-07-29 15:56:56,146 - DEBUG - px, py: 43 19
2021-07-29 15:57:06,151 - DEBUG - px, py: 43 19
2021-07-29 15:57:16,157 - DEBUG - px, py: 43 19
2021-07-29 15:57:26,162 - DEBUG - px, py: 43 19
2021-07-29 15:57:36,164 - DEBUG - px, py: 43 19
2021-07-29 15:57:46,167 - DEBUG - px, py: 43 19
2021-07-29 15:57:56,170 - DEBUG - px, py: 43 19
2021-07-29 15:58:06,174 - DEBUG - px, py: 43 19
